i rad_of_gyr
1 14.240619666865179
2 14.124934606595858
3 14.265984401602552
4 14.284633888487932
5 14.214991533964078
6 14.310222934372764
7 14.33808136475854
8 14.28889754027002
9 14.183825313820545
10 14.294830725610508
11 14.313129474662944
12 14.231152992900746
13 14.432349417043856
14 14.275223523671261
15 14.185095550478694
16 14.187929936398705
17 14.144641893903117
18 14.15738524856409
19 14.179690399518995
20 14.293421950927412
