Loading parameters

Initial system energy
-531585.8493892984 kJ/mol

Energy minimization: 5000 steps
-493690.8469051649 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
40.8%	51000	50.99999999997184	-436642.7309417878	304.549922537541	18.1	5:52
41.6%	52000	51.99999999996951	-436875.44594390364	300.99555188031263	18.1	5:47
42.4%	53000	52.99999999996718	-437655.2346337498	303.690559541553	18.2	5:42
43.2%	54000	53.99999999996485	-438390.9762321026	301.39305380864477	18.2	5:37
44.0%	55000	54.99999999996252	-438018.2005111226	303.68572062731045	18.1	5:33
44.8%	56000	55.99999999996019	-438037.5596729615	302.04270823412145	18.1	5:28
45.6%	57000	56.99999999995786	-437600.4435972334	300.34880566277104	18.1	5:23
46.4%	58000	57.99999999995553	-437800.5711361789	304.60737669498985	18.1	5:18
47.2%	59000	58.9999999999532	-437003.39351013163	302.5859744297305	18.2	5:14
48.0%	60000	59.999999999950866	-436805.03620379185	304.8226442296318	18.1	5:09
48.8%	61000	60.999999999948535	-437139.4362022686	302.6538287011224	18.1	5:04
49.6%	62000	61.999999999946205	-436801.2999733356	305.68440223303134	18.1	4:59
50.4%	63000	62.999999999943874	-436798.10543498443	305.06024799827276	18.1	4:55
51.2%	64000	63.999999999941544	-436385.14552055905	302.89399835909944	18.1	4:50
52.0%	65000	64.99999999994631	-435881.6414015484	304.0804623787033	18.1	4:45
52.8%	66000	65.99999999995109	-436968.42446164833	304.5122244933502	18.1	4:41
53.6%	67000	66.99999999995586	-437380.5803055004	302.73828394576356	18.1	4:36
54.4%	68000	67.99999999996064	-436723.96350836847	299.43824346810266	18.1	4:31
55.2%	69000	68.99999999996541	-437493.548436549	303.2850836539852	18.1	4:26
56.0%	70000	69.99999999997019	-436957.87261694344	304.89979515006155	18.1	4:22
56.8%	71000	70.99999999997496	-436881.21292431885	303.31061991475144	18.1	4:17
57.6%	72000	71.99999999997974	-437486.8533339952	301.5508695408638	18.1	4:12
58.4%	73000	72.99999999998451	-436772.51065504784	301.41377190640543	18.1	4:07
59.2%	74000	73.99999999998929	-436846.4629512043	301.9704235828535	18.1	4:03
60.0%	75000	74.99999999999406	-436757.75844454626	302.1984705361756	18.1	3:58
60.8%	76000	75.99999999999883	-436483.63392448286	305.15408619679226	18.1	3:53
61.6%	77000	77.00000000000361	-437088.1841585734	307.55326371594475	18.1	3:48
62.4%	78000	78.00000000000838	-436297.66192829283	302.3172617396049	18.1	3:43
63.2%	79000	79.00000000001316	-436593.3885337808	302.13437950645596	18.1	3:39
64.0%	80000	80.00000000001793	-436040.15604927996	304.37141885344937	18.1	3:34
64.8%	81000	81.00000000002271	-436135.4806747106	303.6845621662743	18.1	3:29
65.6%	82000	82.00000000002748	-436154.87385381246	302.83777932227366	18.1	3:24
66.4%	83000	83.00000000003226	-436417.67442372395	301.8218656598692	18.1	3:20
67.2%	84000	84.00000000003703	-437135.3061813018	305.645086645378	18.1	3:15
68.0%	85000	85.00000000004181	-435726.79509159224	302.9196572462548	18.1	3:10
68.8%	86000	86.00000000004658	-437679.82994605834	305.6994302483778	18.1	3:05
69.6%	87000	87.00000000005136	-436808.6104501602	300.9435883538055	18.1	3:01
70.4%	88000	88.00000000005613	-436078.8983530388	302.00568986035796	18.1	2:56
71.2%	89000	89.00000000006091	-436221.2546609747	302.1318946348671	18.1	2:51
72.0%	90000	90.00000000006568	-436188.38877668465	305.2499719414783	18.1	2:46
72.8%	91000	91.00000000007046	-436364.83208200196	304.0855671807281	18.1	2:42
